Name,Average_Score,Average_Rating
Otter Tail Corporation,2.5,High Risk
"Owens & Minor, Inc.",3.0,Medium Risk
Owens Corning Inc,2.8333333333333335,Medium Risk
PACCAR Inc.,4.0,Low Risk
PBF Logistics LP,2.0,High Risk
"PDC Energy, Inc.",2.0,High Risk
PLDT Inc.,2.7142857142857144,Medium Risk
PPL Corporation,3.0,Medium Risk
"PRA Group, Inc.",2.0,High Risk
"PRA Health Sciences, Inc.",1.5,High Risk
PTC Inc.,2.0,High Risk
PVH Corp.,2.0,High Risk
Packaging Corporation of America,3.0,Medium Risk
Parker-Hannifin Corporation,4.0,Low Risk
"PayPal Holdings, Inc.",3.0,Medium Risk
Pedevco Corp.,3.0,Medium Risk
"Penske Automotive Group, Inc.",2.0,High Risk
Pentair plc.,4.0,Low Risk
"Pepsico, Inc.",4.0,Low Risk
Perrigo Company,3.0,Medium Risk
"Pfizer, Inc.",4.0,Low Risk
Philip Morris International Inc,4.0,Low Risk
Phillips 66,3.4,Medium Risk
Phillips 66 Partners LP,3.0,Medium Risk
Pinnacle West Capital Corporation,4.0,Low Risk
Pioneer Natural Resources Company,3.0,Medium Risk
Pitney Bowes Inc.,3.0,Medium Risk
"Plains All American Pipeline, L.P.",3.2857142857142856,Medium Risk
PolyOne Corporation,3.0,Medium Risk
"Post Holdings, Inc.",2.0,High Risk
ProAssurance Corporation,3.0,Medium Risk
Progressive Corporation (The),4.0,Low Risk
Public Service Enterprise Group Incorporated,3.0,Medium Risk
"QEP Resources, Inc.",2.0,High Risk
QUALCOMM Incorporated,4.0,Low Risk
Quanex Building Products Corporation,2.0,High Risk
Quest Diagnostics Incorporated,3.0,Medium Risk
R.R. Donnelley & Sons Company,2.0,High Risk
RLI Corp.,3.0,Medium Risk
RPM International Inc.,3.0,Medium Risk
Radian Group Inc.,1.0,Highest Risk
Range Resources Corporation,2.0,High Risk
Rayonier Inc.,3.5,Low Risk
Reliance Steel & Aluminum Co.,3.0,Medium Risk
Rent-A-Center Inc.,2.0,High Risk
"Republic Services, Inc.",3.0,Medium Risk
Resolute Forest Products Inc.,2.0,High Risk
Rio Tinto Plc,4.0,Low Risk
Ritchie Bros. Auctioneers Incorporated,2.0,High Risk
Rite Aid Corporation,1.6,High Risk
Royal Caribbean Cruises Ltd.,2.0,High Risk
